"title","url","img_url","author","rate","votes_num","comments_num"
"13 67","https://book.douban.com/subject/25897884/","https://img3.doubanio.com/view/subject/s/public/s33699260.jpg","陳浩基","9.1","16820","7771"
"1984","https://book.douban.com/subject/4820710/","https://img9.doubanio.com/view/subject/s/public/s4371408.jpg","[英]乔治·奥威尔；刘绍铭","9.4","251700","821"
"2001：太空漫游","https://book.douban.com/subject/30471298/","https://img2.doubanio.com/view/subject/s/public/s32330891.jpg","[英]阿瑟·克拉克；郝明义","9.3","16574","6736"
"一个叫欧维的男人决定去死","https://book.douban.com/subject/26672693/","https://img3.doubanio.com/view/subject/s/public/s29071620.jpg","[瑞典]弗雷德里克·巴克曼；宁蒙","9.1","56378","18230"
"一个陌生女人的来信","https://book.douban.com/subject/2154960/","https://img1.doubanio.com/view/subject/s/public/s2611329.jpg","[奥]斯蒂芬·茨威格；张玉书","8.7","136092","29818"
"一千零一夜","https://book.douban.com/subject/1035848/","https://img1.doubanio.com/view/subject/s/public/s1070937.jpg","纳训","8.7","55231","5516"
"一句顶一万句","https://book.douban.com/subject/3633461/","https://img1.doubanio.com/view/subject/s/public/s6916838.jpg","刘震云","8.8","60704","20773"
"一桩事先张扬的凶杀案","https://book.douban.com/subject/24382569/","https://img1.doubanio.com/view/subject/s/public/s26546959.jpg","[哥伦比亚]加西亚·马尔克斯；魏然","8.7","40639","14697"
"一间只属于自己的房间","https://book.douban.com/subject/34835082/","https://img1.doubanio.com/view/subject/s/public/s33503989.jpg","[英]弗吉尼亚·伍尔夫；周颖琪","9.2","13106","6090"
"万历十五年","https://book.douban.com/subject/1041482/","https://img9.doubanio.com/view/subject/s/public/s1800355.jpg","[美]黄仁宇","9","184544","38710"
"万水千山走遍","https://book.douban.com/subject/1036490/","https://img2.doubanio.com/view/subject/s/public/s1099483.jpg","三毛","8.9","43322","5147"
"万物有灵且美","https://book.douban.com/subject/4187411/","https://img9.doubanio.com/view/subject/s/public/s4093514.jpg","[英]吉米·哈利；种衍伦","8.9","21736","8191"
"三体全集","https://book.douban.com/subject/6518605/","https://img9.doubanio.com/view/subject/s/public/s28357056.jpg","刘慈欣","9.5","148002","25125"
"三国演义（全二册）","https://book.douban.com/subject/1019568/","https://img2.doubanio.com/view/subject/s/public/s1076932.jpg","[明]罗贯中","9.3","154054","20437"
"上学记","https://book.douban.com/subject/1859140/","https://img9.doubanio.com/view/subject/s/public/s1950424.jpg","何兆武；文靖","8.9","13654","3655"
"上帝掷骰子吗","https://book.douban.com/subject/1467022/","https://img9.doubanio.com/view/subject/s/public/s1486674.jpg","曹天元","9.2","31819","8598"
"不存在的骑士","https://book.douban.com/subject/6789551/","https://img2.doubanio.com/view/subject/s/public/s8972061.jpg","[意]伊塔洛·卡尔维诺；吴正仪","8.9","18398","6229"
"不能承受的生命之轻","https://book.douban.com/subject/4920007/","https://img2.doubanio.com/view/subject/s/public/s4421443.jpg","米兰·昆德拉；许钧","8.8","42503","10350"
"东方快车谋杀案","https://book.douban.com/subject/1827374/","https://img1.doubanio.com/view/subject/s/public/s1765799.jpg","[英]阿加莎·克里斯蒂；陈尧光","9.1","127196","22594"
"东晋门阀政治","https://book.douban.com/subject/10758290/","https://img9.doubanio.com/view/subject/s/public/s10206185.jpg","田余庆","9.5","9055","2862"
"中国历代政治得失","https://book.douban.com/subject/1003479/","https://img9.doubanio.com/view/subject/s/public/s1319205.jpg","钱穆","9.2","62243","15575"
"中国哲学简史","https://book.douban.com/subject/1021273/","https://img9.doubanio.com/view/subject/s/public/s1069364.jpg","冯友兰；赵复三","8.9","18886","3322"
"中国少年儿童百科全书（全四册）","https://book.douban.com/subject/1028409/","https://img9.doubanio.com/view/subject/s/public/s34069455.jpg","林崇德主编","9.4","15336","4472"
"九州·缥缈录","https://book.douban.com/subject/1321017/","https://img1.doubanio.com/view/subject/s/public/s1520169.jpg","江南","8.8","30475","5925"
"也许你该找个人聊聊","https://book.douban.com/subject/35481512/","https://img2.doubanio.com/view/subject/s/public/s33944153.jpg","[美]洛莉·戈特利布；张含笑","9","32821","14196"
"乡土中国","https://book.douban.com/subject/1795079/","https://img3.doubanio.com/view/subject/s/public/s1762210.jpg","费孝通","9.2","72003","17854"
"了不起的盖茨比","https://book.douban.com/subject/10738023/","https://img9.doubanio.com/view/subject/s/public/s9110246.jpg","[美]斯科特·菲茨杰拉德；邓若虚","8.8","47819","10722"
"二手时间","https://book.douban.com/subject/26704403/","https://img9.doubanio.com/view/subject/s/public/s28397415.jpg","[白俄]S.A.阿列克谢耶维奇；吕宁思","8.9","21042","7896"
"亮剑","https://book.douban.com/subject/1088022/","https://img1.doubanio.com/view/subject/s/public/s9950828.jpg","都梁","9","27754","6425"
"亲密关系（第6版）","https://book.douban.com/subject/26585065/","https://img3.doubanio.com/view/subject/s/public/s29497110.jpg","[美]罗兰·米勒(RowlandS.Miller)；王伟平译；彭凯平校","9.3","17948","5350"
"亲爱的安德烈","https://book.douban.com/subject/3369793/","https://img1.doubanio.com/view/subject/s/public/s3993878.jpg","龙应台；[德]安德烈","8.6","118329","20929"
"人生的智慧","https://book.douban.com/subject/3261600/","https://img9.doubanio.com/view/subject/s/public/s4619775.jpg","(德)叔本华；韦启昌","9.2","28751","8968"
"人生的枷锁","https://book.douban.com/subject/2035171/","https://img1.doubanio.com/view/subject/s/public/s3983958.jpg","[英]毛姆；张柏然；张增健；倪俊","9.1","27851","7337"
"人类简史","https://book.douban.com/subject/25985021/","https://img2.doubanio.com/view/subject/s/public/s27814883.jpg","[以色列]尤瓦尔·赫拉利；林俊宏","9.1","181519","46163"
"人间草木","https://book.douban.com/subject/1253310/","https://img3.doubanio.com/view/subject/s/public/s1201610.jpg","汪曾祺","9.2","26976","7700"
"人间词话","https://book.douban.com/subject/1203426/","https://img9.doubanio.com/view/subject/s/public/s1146614.jpg","王国维","9","51326","6856"
"从一到无穷大","https://book.douban.com/subject/1102715/","https://img3.doubanio.com/view/subject/s/public/s2516920.jpg","[美国]乔治·伽莫夫；校注吴伯泽；暴永宁译；吴伯泽校","9.1","13015","3483"
"从零开始的女性主义","https://book.douban.com/subject/35523099/","https://img2.doubanio.com/view/subject/s/public/s33984963.jpg","[日本]上野千鹤子；田房永子；吕灵芝","8.7","42990","19971"
"众病之王","https://book.douban.com/subject/20507206/","https://img1.doubanio.com/view/subject/s/public/s24598159.jpg","[美]悉达多·穆克吉；李虎","9","12058","4706"
"会饮篇","https://book.douban.com/subject/21570668/","https://img2.doubanio.com/view/subject/s/public/s25807032.jpg","[古希腊]柏拉图；王太庆","9.3","9318","3755"
"你一生的故事","https://book.douban.com/subject/26295448/","https://img9.doubanio.com/view/subject/s/public/s28033064.jpg","[美]特德·姜；李克勤；王荣生；Bruceyew","8.8","32098","11849"
"你好，旧时光（上 下）","https://book.douban.com/subject/4166819/","https://img1.doubanio.com/view/subject/s/public/s4293097.jpg","八月长安","8.7","46111","12080"
"你当像鸟飞往你的山","https://book.douban.com/subject/33440205/","https://img9.doubanio.com/view/subject/s/public/s33492346.jpg","[美]塔拉·韦斯特弗；任爱红","8.7","153649","57175"
"倚天屠龙记","https://book.douban.com/subject/1070851/","https://img9.doubanio.com/view/subject/s/public/s34097535.jpg","金庸","8.7","57955","7669"
"倾城之恋","https://book.douban.com/subject/1985223/","https://img3.doubanio.com/view/subject/s/public/s4638950.jpg","张爱玲","8.7","48543","5442"
"傲慢与偏见","https://book.douban.com/subject/1083428/","https://img2.doubanio.com/view/subject/s/public/s4250062.jpg","[英]奥斯丁；张玲；张扬","8.9","221002","33471"
"克莱因壶","https://book.douban.com/subject/33658616/","https://img1.doubanio.com/view/subject/s/public/s33317677.jpg","[日]冈岛二人；张舟","8.9","47514","21156"
"全球通史(上)","https://book.douban.com/subject/1922216/","https://img2.doubanio.com/view/subject/s/public/s28330151.jpg","[美]斯塔夫里阿诺斯；吴象婴；梁赤民；董书慧；王昶","9.2","16208","3296"
"冬牧场","https://book.douban.com/subject/10522856/","https://img2.doubanio.com/view/subject/s/public/s8958901.jpg","李娟","9","29495","10609"
"冰与火之歌","https://book.douban.com/subject/25826936/","https://img9.doubanio.com/view/subject/s/public/s27218035.jpg","乔治·马丁；谭光磊；屈畅；胡绍晏","9.5","15596","2952"
"刀锋","https://book.douban.com/subject/2035162/","https://img2.doubanio.com/view/subject/s/public/s2347562.jpg","[英]毛姆；周煦良","9","80236","24005"
"刘擎西方现代思想讲义","https://book.douban.com/subject/35313227/","https://img9.doubanio.com/view/subject/s/public/s33802981.jpg","刘擎","9.2","24511","9921"
"动物农场","https://book.douban.com/subject/2035179/","https://img3.doubanio.com/view/subject/s/public/s2347590.jpg","[英国]乔治·奥威尔；荣如德","9.3","140309","28492"
"十万个为什么","https://book.douban.com/subject/2160556/","https://img1.doubanio.com/view/subject/s/public/s2619779.jpg","","9.1","17021","3091"
"半生缘","https://book.douban.com/subject/1963684/","https://img1.doubanio.com/view/subject/s/public/s2838737.jpg","张爱玲","8.6","79478","13277"
"卡拉马佐夫兄弟","https://book.douban.com/subject/1856494/","https://img2.doubanio.com/view/subject/s/public/s2059791.jpg","[俄]费奥多尔·陀思妥耶夫斯基；荣如德","9.5","25737","6698"
"历史深处的忧虑","https://book.douban.com/subject/1027191/","https://img9.doubanio.com/view/subject/s/public/s1768916.jpg","林达；李晓林","9","43146","11358"
"厌女","https://book.douban.com/subject/25836270/","https://img1.doubanio.com/view/subject/s/public/s33797467.jpg","上野千鹤子；王兰","9.1","52037","21082"
"受戒","https://book.douban.com/subject/1760432/","https://img2.doubanio.com/view/subject/s/public/s3628082.jpg","汪曾祺","9.3","22467","5523"
